Paper_ID,Title,author,publication venue,year,abstract,,,,,,,,,,,,,,
116,Designing robots for the battlefield: state of the art,"BA Swett, EN Hahn, AJ Llorens","Robotics, AI, and humanity …",2021,"… For a humanoid robot assistant, the action space may include manipulation of household … Advances in the application of AI to weapons may even be used to preempt attacks, stopping …",,,,,,,,,,,,,,
117,Toward understanding the nature of musical performance and interaction with wind instrument-playing humanoids,"J Solis, A Takanishi",19th International Symposium in Robot …,2010,"… -time factor (referred as esL) is introduced to compensate the delay during the attack time. … However, when we talk at the level of humanoid robot, we are talking about not just analyzing …",,,,,,,,,,,,,,
118,A survey of research on cloud robotics and automation,"B Kehoe, S Patil, P Abbeel…",IEEE Transactions on …,2015,… platform for testing the performance of the Atlas humanoid robot (shown in Fig. 13) on a … the potential of robots and systems to be attacked remotely: a hacker could take over a robot …,,,,,,,,,,,,,,
119,A short review of the robotics,R Hossain,Robotics and autonomous systems,2022,"… possible to create an intelligent, autonomous humanoid robot. Tesla's ideas were not taken … enemy, even as an armed measure to attack the opposition forces or as a Medicare agent to …",,,,,,,,,,,,,,
120,How can autonomous vehicles convey emotions to pedestrians? A review of emotionally expressive non-humanoid robots,"Y Wang, L Hespanhol, M Tomitsch",Multimodal Technologies and …,2021,"… For example, local residents harassed and attacked (eg, threw rocks at) Waymo’s self-… the English language, (2) used a non-humanoid robot, (3) designed emotional expressions for the …",,,,,,,,,,,,,,
121,Security aspects of social robots in public spaces: a systematic mapping study,"SO Oruma, YZ Ayele, F Sechi, H Rødsethol",Sensors,2023,"… While some have delved into the threat landscape and attack vectors [5,8], others … [37] Contextual trust model with a humanoid robot defense for attacks to smart eco-systems …",,,,,,,,,,,,,,
122,Design and implementation framework of social assistive robotics for people with dementia-a scoping review,"D Ozdemir, J Cibulka, O Stepankova…",Health and Technology,2021,"… treatments, notifications and even launching denial of service attacks and eventually attacking the whole community by taking over the devices to overflow the power grid systems [77]. …",,,,,,,,,,,,,,
123,Role of facial expressions in social interactions,C Frith,Philosophical Transactions of the Royal Society …,2009,"… Chaminade, have recently completed an imaging study in which volunteers were shown a variety of dynamic facial expressions displayed by a person or by a robot (humanoid robot WE…",,,,,,,,,,,,,,
124,Cooperative multirobot systems for military applications,"NR Gans, JG Rogers",Current Robotics Reports,2021,"… Swarms of small UAVs could disrupt enemy radar and attack air or ground targets while … The Navy, working with multiple universities, developed a humanoid robot as part of the …",,,,,,,,,,,,,,
125,An overview of potential risks of artificial general intelligence robots,"A Gündo?ar, S Niauronis",Applied Scientific Research,2023,… these robots have against various types of cyber-attacks [37]. Safety refers to reducing the … BINA48 is a humanoid robot developed by Hanson Robotics and released in 2010 with a …,,,,,,,,,,,,,,
126,A systematic review for assisting the echolalia attacked autism people using robot and android application,"M Abirami, AS Banu, TB Miranda…",International journal of …,2015,… The work presented in this paper was part of investigation in assisting echolalia attacked … The application will be designed based on the characteristics of echolalia attacked people …,,,,,,,,,,,,,,
127,Needs and solutions-home automation and service robots for the elderly and disabled,"P Harmo, T Taipalus, J Knuuttila…",2005 IEEE/RSJ …,2005,"… for many people, a “robot” often implies a humanoid robot. On the other hand, a commercial … The ultimate benefit of a humanoid robot is that it fits well into environments built for humans …",,,,,,,,,,,,,,
128,Teleoperation and beyond for assistive humanoid robots,"MA Goodrich, JW Crandall…",Reviews of Human …,2013,"… The emergence of socioemotional challenges occurs when the humanoid robot, though remote from an operator, operates in an environment where other humans are present. …",,,,,,,,,,,,,,
129,Social Assistant Humanoid Robots for Dementia of the Elderly: A Scoping Review,X Liu,Journal of Electronic Research and Application,2020,"… Elderly people with dementia are attacked by the behavioral and psychological symptoms … effect of long-term use of the humanoid robot, because the experiment produces more positive …",,,,,,,,,,,,,,
130,The use of humanoid robotic as assistive rehabilitation treatment for children with autism according to objectives of shariah in Islam,"A Fikry, S Fatahiyah, NL Jamaludin…",… Journal of Academic …,2020,"… Although humanoid robot has been used as part of assistive rehabilitation treatment for … Thus, for example, protection of self (or life) can include protection against the attack of life, …",,,,,,,,,,,,,,
131,Service robots: a systematic literature review,I Lee,Electronics,2021,… humanoid robot solving complex tasks [78]. The proposed architecture for the general humanoid robot … These attacks could compromise IoT-enabled robot operations by hampering the …,,,,,,,,,,,,,,
132,The evolution of robotics research,"E Garcia, MA Jimenez, PG De Santos…",IEEE Robotics & …,2007,"… Medical robots assist in operations on heart-attack victims and make possible the millimeter-… Takanishi, “Effective emotional expressions with emotion expression humanoid robot we-4rii…",,,,,,,,,,,,,,
133,Social robots to support children's well-being under medical treatment: A systematic state-of-the-art review,"CJ Moerman, L Van Der HEIDE…",Journal of Child Health …,2019,"… Humanoid robot, not further described (using preprogrammed series of coaching behaviours before, during, and after procedure). Acceptability, pain intensity during the insertion (self-…",,,,,,,,,,,,,,
134,Literature Review for the Design and Implementation of the Archer Robot,"AC Abad, EP Dadios",Journal of Computational Innovations and …,2018,"… The king was astonished by the skills of the humanoid robot. The humanoid even winked its … This robot, called “Jedibot,” has been programmed to attack and to defend versus a human …",,,,,,,,,,,,,,
135,"Special issue on recent advances in Petri nets, automata, and discrete-event hybrid systems","R Wisniewski, M Zhou, L Gomes…",IEEE Transactions on …,2020,… Tran et al. employed reinforcement learning (Q-learning) to explore the relationship between actions and states allocated dynamically that allow the humanoid robot to trigger a reaction …,,,,,,,,,,,,,,
136,Expectations towards the morality of robots: An overview of empirical studies,A Wasielewska,Ethics in Progress,2021,"… While returning home, the robot is attacked by a group of boys – street hooligans who want … The report presents the following situation: last night an attack took place, in which a …",,,,,,,,,,,,,,
137,"A comprehensive study of mobile robot: History, developments, applications, and future research perspectives","R Raj, A Kos",Applied Sciences,2022,… The first humanoid robot was built in 1950 by Tony Sale in the United Kingdom. The name of … The first humanoid robot was just built for £15 using metal collected from a crashed bomber …,,,,,,,,,,,,,,
138,A review on honeypot-based botnet detection models for smart factory,"S Lee, A Abdullah, NZ Jhanjhi",International Journal of Advanced …,2020,"… the attack and commands the bots to execute the DDOS attack as the target of an attack on … Specifically, a humanoid robot is used to integrate with the smart manufacturing plant in …",,,,,,,,,,,,,,
139,A Review of Theory of Mind and Robotics: Mind Reading in Human-Robot Interaction for Proactive Social Robots,"M Hellou, S Vinanzi, A Cangelosi",International Workshop on Human …,2024,"… model), which was implemented in a humanoid robot performing two false belief tasks. The … United Robotic Group, a small humanoid robot predominantly used for HRI research. Two …",,,,,,,,,,,,,,
140,Time to compile: An interactive art installation,"C Cuan, I Pakrasi, A LaViers",… Symposium on Arts …,2018,"… In Node 3, the participant (Player 3) interacts with Nao, a small, 1’11” humanoid robot. This … Statements were published to attack the workers’ sexual behavior and moral, indicating that …",,,,,,,,,,,,,,
141,A survey on recent advances in social robotics,"K Youssef, S Said, S Alkork, T Beyrouthy",Robotics,2022,"… In [21], the humanoid robot Pepper has been used in … The desktop humanoid robot was collaboratively controlled … of users but hackers could attack social robot users from different …",,,,,,,,,,,,,,
142,Improving interactions with healthcare robots: a review of communication behaviours in social and healthcare contexts,"DL Johanson, HS Ahn, E Broadbent",International Journal of Social …,2021,"… [41], researchers investigated the use of verbal empathy by a humanoid robot, during gameplay (about sustainability) with children. In this study, the robot used phrases such as “We are …",,,,,,,,,,,,,,
143,Artificial moral agents: A survey of the current status,"JA Cervantes, S López, LF Rodríguez…",… and engineering ethics,2020,"… This is a humanoid robot for research in embodied cognition. … ASIMO (Shigemi 2018) is another humanoid robot … is walking on the street, a thief tries to attack her/him with a knife. So, the …",,,,,,,,,,,,,,
144,Transfer learning in robotics: An upcoming breakthrough? A review of promises and challenges,"N Jaquier, MC Welle, A Gams, K Yao…",… Journal of Robotics …,2023,"… humanoid robot to place a box on the conveyer belt or to handover the box (Figure 1, middle-top and middle) may be reused by a humanoid robot … robust to adversarial attacks. Most of …",,,,,,,,,,,,,,
145,Mimicking Technologies in Retail: Facilitating and Transforming Customer Retail Experience,AK Kashyap,Marketing 5.0,2025,"… Later, in the year 1972, the first intelligent humanoid robot was built in Japan which was named as WABOT-1. It can be considered as a breakthrough event in machine intelligence, but …",,,,,,,,,,,,,,
146,Classical and heuristic approaches for mobile robot path planning: A survey,"JA Abdulsaheb, DJ Kadhim",Robotics,2023,… in the 2D path planning of a humanoid robot [66] as well as … The whales use two different mechanisms to both attack and … exploit their environment during an attack. The general flow …,,,,,,,,,,,,,,
147,Reinforcement learning for robot research: A comprehensive review and open issues,"T Zhang, H Mo",International Journal of Advanced Robotic …,2021,… The robust model-free approach attacks the limitation of a large number of training episodes to find solutions for robotics dexterous manipulation and legged locomotion. …,,,,,,,,,,,,,,
148,"Intelligent escape of robotic systems: A survey of methodologies, applications, and challenges","J Li, SX Yang",Journal of Intelligent &Robotic Systems,2023,"… For instance, the humanoid robot needs to deal with the gait … evasion trajectory of the humanoid robot. The control law for … of pigeons in airborne flocks attacked by a robotic falcon to …",,,,,,,,,,,,,,
149,Dynamics and control of robotic systems,"AJ Kurdila, P Ben-Tzvi",,2019,"… operation, or the development of a humanoid robot. The diversity and complexity of this list … For military vehicles, the ability to attack or flee at high speeds is an important capability to …",,,,,,,,,,,,,,
150,Even teleoperated robots are discriminated against in science fictions,RR Murphy,Science Robotics,2024,"… problem of how to synchronize a complex humanoid robot with the subtle differences of a … a car or a wheelchair, not as a personal attack. The law ignores the pain Haydens feel through …",,,,,,,,,,,,,,
151,Opportunities and challenges in deep learning adversarial robustness: A survey,"SH Silva, P Najafirad",arXiv preprint arXiv:2007.00753,2020,… [87] generated adversarial examples to an iCub Humanoid Robot. The attack proposed simply extends over the attacks in [88]. The main aspect to be considered in this paper is the fact …,,,,,,,,,,,,,,
152,Digital transformation and artificial intelligence: opportunities and challenges,F Lemieux,Digital Strategies And Organizational Transformation,2023,"… In a less virtual world, Sophia is a social humanoid robot powered … (3) TrojAI attack: Unlike a broader data-poisoning attack that … (4) Model inversion attack: Hackers can reconstruct the …",,,,,,,,,,,,,,
153,Uncertainties in comparing a human and an android robot,GR Ivanitskii,Uspekhi Fizicheskikh Nauk,2023,… serves as a distraction for the predator that attacked the octopus. This method of protection can … PAL Robotics created an all-electric humanoid robot with torque sensors in its arm joints. …,,,,,,,,,,,,,,
154,Manifestation of virtual assistants and robots into daily life: Vision and challenges,"R Rawassizadeh, T Sen, SJ Kim, C Meurisch…",CCF Transactions on …,2019,"Similar to how the smartphone and Internet have significantly changed our daily lives, artificial intelligence (AI) applications have started to profoundly affect our everyday lives as well. …",,,,,,,,,,,,,,
155,AI-enabled IoT penetration testing: state-of-the-art and research challenges,"C Greco, G Fortino, B Crispo…",Enterprise Information …,2023,"… PENTOS gathers information about the targeted IoT device through wireless communications and allows to perform several types of attacks such as password attacks, web attacks, and …",,,,,,,,,,,,,,
156,Dynamic walking: Toward agile and efficient bipedal robots,"J Reher, AD Ames","Annual Review of Control, Robotics, and …",2021,"… angle of attack ? for … humanoid robot to heavily use series-elastic actuators (66). Using inspiration from the SLIP morphology, Hurst and colleagues designed the planar humanoid robot …",,,,,,,,,,,,,,
157,Drawing parallels in human–other interactions: a trans-disciplinary approach to developing human–robot interaction methodologies,EC Collins,… Transactions of the Royal Society B,2019,… provided by Hall [14] to demonstrate that participants provide less compensatory behaviour when having their personal space invaded by a human compared with a humanoid robot. …,,,,,,,,,,,,,,
158,A review on IoT based m-health systems for diabetes,"M Bansal, R Pandey, S Ghosh",Journal of Emerging …,2018,"… Blindness, renal failure, amputation, heart attacks, and stroke are among diabetic … monitor, and weight scale) and an existing humanoid robot are included in each capillary network. The …",,,,,,,,,,,,,,
159,Review and descriptive investigation of the connection between bipedal locomotion and non-prehensile manipulation,"Y Farid, B Siciliano, F Ruggiero",Annual Reviews in Control,2022,"… In a basketball game, the ball is thrown by the attacking player … the power of arms of the attacking player play essential roles in … 2(a), TORO humanoid robot is pushing two boxes to the …",,,,,,,,,,,,,,
160,Human-robot interaction: a state of the art review,"D Yadeta, A Bedane, W Chemma",J. Artif. Intell. Mach. Learn …,2023,"… Ketterbug45, the first torpedo designed by USA engineers to attack an enemy by bomb … in entertainment sector includes childlike humanoid robot Kaspar drumming robot36, human…",,,,,,,,,,,,,,
161,The Rise of “Cyborgs” in Smart Cities: Review and Open Research Issues,"M Shafiq, Z Gu, HU Khan, S Bourouis",,2024,… attacks: passive attacks where an eavesdropper listens in on the wireless channel (channel-based attack) and active attacks … human (also known as a humanoid robot) is an android or …,,,,,,,,,,,,,,
162,The moral psychology of artificial intelligence,"A Ladak, S Loughnan, M Wilks",Current Directions in …,2024,"… Do people hold a humanoid robot morally accountable for the harm it causes? In Yanco H., Steinfeld A., Evers V., Jenkins OC (Chairs), Proceedings of the seventh annual ACM/IEEE …",,,,,,,,,,,,,,
163,A survey of the robotics ethical landscape,"P Lichocki, PH Kahn Jr, A Billard",IEEE Robot Autom Mag,2011,… [80] conducted studies following children with autism interacting with a humanoid robot over … These laws stipulate that only enemy combatants are legitimate targets and prohibit attacks …,,,,,,,,,,,,,,
164,Is it the real deal? Perception of virtual characters versus humans: an affective cognitive neuroscience perspective,"AW de Borst, B de Gelder",Frontiers in psychology,2015,"… that ranged from a humanoid robot to an android to a human. They showed a valley in the familiarity rating for the photographs between the humanoid robot and the android, which was …",,,,,,,,,,,,,,
165,DECISION-MAKING TECHNOLOGIES IN MILITARY SYSTEMS. CHALLENGES AND PROSPECTS,"AO MOROZOV, VO YASHCHENKO",,2023,"… the first self-driving car, and the first humanoid robot. Among modern projects related to AI and … military operations for tasks such as reconnaissance, attacks, and defense missions. They …",,,,,,,,,,,,,,
166,"The Ten Commandments of Working Robots in Organisations: From History to the Future of Robot Ethics, Legislation, and Management","I Kouatli, R Kouatly, A Zaarour","War, Peace and Organizational …",2020,"… to avoid a cyber-attack on the AV. However… attack like kidnapping, for example, where such information, as well as the route taken might be vital in such scenario. The risk of cyber-attack …",,,,,,,,,,,,,,
167,Robot learning from randomized simulations: A review,"F Muratore, F Ramos, G Turk, W Yu…",Frontiers in Robotics …,2022,… The proposed observation-based attack as well as training algorithm is supported by four sim-to-sim validations in MuJoCo environments. Jiang et al. (2021) employed GANs to …,,,,,,,,,,,,,,
168,A meta-analysis of factors affecting trust in human-robot interaction,"PA Hancock, DR Billings, KE Schaefer…",Human …,2011,"… Without a larger and active empirical attack, our knowledge will remain precarious and based often on either anecdotal or engineering-centered case studies. With regard to practical …",,,,,,,,,,,,,,
169,Robot soccer,C Sammut,Wiley Interdisciplinary Reviews: Cognitive Science,2010,"… In 2008, the league switched to the Aldebaran Nao humanoid robot9 (Figure 1). … If it is important for an attacking robot to keep its focus on the ball, eg, if it is close to a shooting position, it …",,,,,,,,,,,,,,
170,The meaning of action: A review on action recognition and mapping,"V Krüger, D Kragic, A Ude, C Geib",Advanced robotics,2007,"… movements, to the movements of a humanoid robot followed [105, 106]. An automatic approach to relate human kinematics to humanoid robot kinematics has been developed [107] and …",,,,,,,,,,,,,,
171,When Will We Become Robots? A Review of Rodney Brooks' Flesh and Machines,M Johansen,Cybernetics &Human Knowing,2002,… — the attempt to build a humanoid robot. Cog was created as … the development of another humanoid robot called Kismet. The … This way of attacking the problem seems to be somewhat …,,,,,,,,,,,,,,
172,Applications and challenges in Service and Security robots,"S Rajesh, C Mohanan, K Hills, PO Pathamuttom…",iipseries.org,,"… attacks to retain trust by the user. IoT enabled robot systems are more prone to cyber attacks, … and communication capabilities are affected by cyber attacks. The security threats posed by …",,,,,,,,,,,,,,
173,Human-Robot Interaction (HRI) using Machine Learning (ML): a Survey and Taxonomy,"M Adawy, H Abualese, NKT El-Omari…",International Journal of …,2024,… These components have a great effect in helping this humanoid robot to mimic human by sensing and interacting efficiently with the world around it. To further simulate human-like …,,,,,,,,,,,,,,
174,Advancements in Agricultural Automation: A Comprehensive Review of Artificial Intelligence and Humanoid Robotics in Farming,"AS Arockia Doss, A Jeyabalan…",… Journal of Humanoid …,2024,This paper discusses about the modern techniques implemented in the field of agriculture which shaped the traditional farming to the smart farming (Agriculture 4.0). The rapid rise in …,,,,,,,,,,,,,,
175,"Artificially intelligent device use in service delivery: a systematic review, synthesis, and research agenda","OH Chi, G Denton, D Gursoy",Journal of Hospitality Marketing & …,2020,"… A humanoid robot then engages the customer in conversation and ascertains that he was terminated at work. The robot sympathizes with the customer, consoles them by enabling them …",,,,,,,,,,,,,,
176,Intelligence by mechanics,"R Blickhan, A Seyfarth, H Geyer…",… of the Royal …,2007,"… Copying human segmentation in a humanoid robot is of … Owing to this gripping motion, the angle of attack changes … angle of attack and a downward step in a steeper angle of attack. …",,,,,,,,,,,,,,
177,Prosocial modeling: Person role models and the media,T Greitemeyer,Current Opinion in Psychology,2022,… [5] showed that mildly frustrated children who observed an adult who attacked a Bobo doll … Children aged eight to ten years played a computer game together with a humanoid robot. …,,,,,,,,,,,,,,
178,Imitation learning: A survey of learning methods,"A Hussein, MM Gaber, E Elyan, C Jayne",ACM Computing Surveys …,2017,"… neural networks is used to reproduce the key posture features in the humanoid robot. … In a defensive task, one agent tries to recover the ball from the attacking opponents, while the other …",,,,,,,,,,,,,,
179,A review on IoT based m-Health systems for diabetes,"S Deshkar, RA Thanseeh, VG Menon",International Journal of Computer …,2017,"… Diabetes leads to blindness, renal failure, amputation, heart attacks and stroke. It is the third … , and weight scale), and an existing humanoid robot. The medical sensors are linked to the …",,,,,,,,,,,,,,
180,Distributed estimation techniques for cyber-physical systems: a systematic review,"C Ierardi, L Orihuela, I Jurado",Sensors,2019,This paper undertakes a systematic review (SR) on distributed estimation techniques applied to cyber-physical systems (CPS). Even though SRs are not the common way to survey a …,,,,,,,,,,,,,,
181,AI failures: A review of underlying issues,"DN Banerjee, SS Chanda",arXiv preprint arXiv:2008.04073,2020,… far—based on reading from just one (angle-of-attack) sensor [10]. Erratic sensor outputs doomed the two fatal … The following incident featuring Sophia the humanoid robot is instructive: …,,,,,,,,,,,,,,
182,Review of autonomous path planning algorithms for mobile robots,"H Qin, S Shao, T Wang, X Yu, Y Jiang, Z Cao",Drones,2023,… (RA-AACO) humanoid robot navigation method was … for humanoid robot navigation and other robotic applications. … enemy radar detection and missile attack was considered. Using a …,,,,,,,,,,,,,,
183,Wheeled robots,G Oriolo,Encyclopedia of Systems and Control,2021,"… This changed in 1996 when Honda publicly announced the humanoid robot P2, the result … humanoid robot project in 2000, which became another important event in the humanoid robot …",,,,,,,,,,,,,,
184,COBOT applications—recent advances and challenges,"C Taesi, F Aggogeri, N Pellegrini",Robotics,2023,"… to be effectively protected against any form of attack. Inspections robots have been developed to … For this purpose, Tsagarakis et al. present a humanoid robot platform that has been …",,,,,,,,,,,,,,
185,From motion capture to action capture: A review of imitation learning techniques and their application to VR-based character animation,"B Jung, HB Amor, G Heumer, M Weber",Proceedings of the ACM …,2006,"… For example, a recorded motion for attacking a normal sized opponent might be rendered … for a humanoid robot. The power of this approach was shown by having a humanoid robot with …",,,,,,,,,,,,,,
186,"A comprehensive survey of security issues of smart home system:“Spear” and “Shields,” theory and practice","J Yang, L Sun",IEEE Access,2022,… 2) TYPICAL ATTACK TECHNOLOGIES (1) A side-channel attack uses leaked information introduced from the additional physical quantities generated by the cryptographic algorithm to …,,,,,,,,,,,,,,
187,RUR revisited: perspectives and reflections on modern robotics,"EG Christoforou, A Müller",International Journal of Social Robotics,2016,"… One system known to have become operationally deployed during the war was a remote-controlled, motorized boat carrying explosives in order to attack enemy ships. An aerial (robotic…",,,,,,,,,,,,,,
188,A survey on autonomous military service robot,"D Patil, M Ansari, D Tendulkar…",… on emerging trends …,2020,… counter attack [6]. Trace the locations of enemies’ organizations and then plan the attack at the right time [7]. Monitor any area affected by a disaster where human beings cannot go [9]. …,,,,,,,,,,,,,,
189,A systematic review on recent advances in autonomous mobile robot navigation,"A Loganathan, NS Ahmad","Engineering Science and Technology, an …",2023,Recent years have seen a dramatic rise in the popularity of autonomous mobile robots (AMRs) due to their practicality and potential uses in the modern world. Path planning is among …,,,,,,,,,,,,,,
190,"Developing future human-centered smart cities: Critical analysis of smart city security, Data management, and Ethical challenges","K Ahmad, M Maabreh, M Ghaly, K Khan, J Qadir…",Computer Science …,2022,"… of medical image attacks than text attacks. This is probably because the attacks arise in the computer vision field. However, texts in natural language are also liable to attacks [50]. This …",,,,,,,,,,,,,,
191,"Artificial Intelligence, Human Intelligence and Intelligence of Nature: Difficult questions in their ambitious fusion",AK Mukhopadhyay,Current …,2017,There are several difficult questions in ambitious project of fusion between psychology and intelligent robotics. What human beings can do that an intelligent robot cannot? What …,,,,,,,,,,,,,,
192,ArticlesThe Rise of “Cyborgs” in Smart Cities: Review and Open Research Issues,"M Shafiq, Z Gu, HU Khan, S Bourouis",hcisj.com,,… attacks: passive attacks where an eavesdropper listens in on the wireless channel (channel-based attack) and active attacks … human (also known as a humanoid robot) is an android or …,,,,,,,,,,,,,,
193,Anti-anthropomorphism and its limits,"D Bruni, P Perconti, A Plebe",Frontiers in psychology,2018,… right computational architecture to allow a humanoid robot to have a fruitful interaction with … Von Frisch's discovery was hardly attacked for ascribing human-like communication abilities …,,,,,,,,,,,,,,
194,Cognitive neuroscience and robotics: Advancements and future research directions,"S Liu, L Wang, RX Gao",Robotics and Computer-Integrated Manufacturing,2024,"In recent years, brain-based technologies that capitalise on human abilities to facilitate human–system/robot interactions have been actively explored, especially in brain robotics. Brain–…",,,,,,,,,,,,,,
195,A review on silicone rubber,"SC Shit, P Shah",National academy science letters,2013,"… Silicones were also far less readily attacked by electromagnetic and particle radiation (UV, … contacting pressure measurement such as humanoid robot sensitive skin, medicine and so on…",,,,,,,,,,,,,,
196,Obstacle avoidance and path planning methods for autonomous navigation of mobile robot,"K Katona, HA Neamah, P Korondi",Sensors,2024,"… path planning problems, for example, for humanoid robot navigation [81], for the underwater … Finally, it is attacked and captured. Updating the position of the prey often depends on the …",,,,,,,,,,,,,,
197,Intelligent systems: perspectives and research challenges,R Akerkar,CSI Commun,2012,… The estimated scale of advance simulations is illustrated by the problem of providing accurate simulations of a crisis like 26/11 Mumbai terrorist attack that would be … 6: A humanoid robot …,,,,,,,,,,,,,,
198,"Cognitive neurorobotics and self in the shared world, a focused review of ongoing research","J Tani, J White",Adaptive Behavior,2022,"… Recently, deep learning schemes in robots show promise in attacking this problem. It has been … To evaluate the RNNPB in a robotics experiment, a humanoid robot was used which …",,,,,,,,,,,,,,
199,Robots in travel clinics: building on tourism's use of technology and robots for infection control during a pandemic,IL Bauer,"Tropical Diseases, Travel Medicine and Vaccines",2023,… People were more accepting of a humanoid robot when told that it was controlled remotely by a … It slips between bedsheets to attack any unpleasantness left by a previous guest and …,,,,,,,,,,,,,,
200,When neuro-robots go wrong: A review,"MS Khan, JL Olds",Frontiers in Neurorobotics,2023,"… For example, Pepper, a humanoid robot from the Japanese firm SoftBank, could not deliver at jobs it was designed for, from entertaining residents at nursing homes to welcoming …",,,,,,,,,,,,,,
201,"Advancements in deep reinforcement learning and inverse reinforcement learning for robotic manipulation: Towards trustworthy, interpretable, and explainable …","R Ozalp, A Ucar, C Guzelis",IEEE Access,2024,"… In training a humanoid robot with DRL for gripper object manipulation in an environment … Chehab, ‘‘Robotics cyber security: Vulnerabilities, attacks, countermeasures, and recommen…",,,,,,,,,,,,,,
202,Robotics and automation in the city: a research agenda,"R Macrorie, S Marvin, A While",Urban Geography,2021,… A man has a heart attack in the street; the emergency services send a drone equipped with a defibrillator to arrive crucial minutes before an ambulance can. A family of flying …,,,,,,,,,,,,,,
203,"Robot-Based Medicine. Robots in medicine: mobile robots versus mobile decision, necessity versus possibility and future challenges","Z Nawrat, D Krawczyk",Mobile Robot: Motion Control and Path Planning,2023,"Medicine as a process and practice, ie, the medical technology of the future, will be based on robotics. Our cooperation with robots, both as service providers and recipients of medical …",,,,,,,,,,,,,,
204,The future of artificial intelligence with respect to society: A comprehensive review,"P Singh, A Sharma, V Mahajan",International Journal of …,2022,… all of the requirements of a classroom • Robin Humanoid Robot: to instruct young children a second … Implementing AI systems in automation may become ideal for cyber-attacks with …,,,,,,,,,,,,,,
205,Underactuated robotics: a review,"B He, S Wang, Y Liu",International Journal of Advanced …,2019,… It could climb a higher step due to the action of the angle of attack. … The RoboCasa Hand-I (RCH-I) 52 is a new type of human hand that could be integrated with a humanoid robot …,,,,,,,,,,,,,,
206,How and when can robots be team members? Three decades of research on human–robot teams,"FD Wolf, RM Stock-Homburg",Group &Organization …,2023,"Artificial intelligence and robotic technologies have grown in sophistication and reach. Accordingly, research into mixed human–robot teams that comprise both robots and humans has …",,,,,,,,,,,,,,
207,Computational approaches to modeling artificial emotion–an overview of the proposed solutions,"Z Kowalczuk, M Czubenko",Frontiers in Robotics and AI,2016,"… One of the major differences between a human and a humanoid robot relies on the feeling and expressing of emotions. For this reason, robots appear to be heartless to people. To …",,,,,,,,,,,,,,
208,Are Robots Ready to Deliver Autism Inclusion?: A Critical Review,"N Rizvi, W Wu, M Bolds, R Mondal, A Begel…",Proceedings of the …,2024,… not to make autistic participants or their families feel attacked for using such terminology [41]. … children with autism: can a small humanoid robot help encourage social interaction skills? …,,,,,,,,,,,,,,
209,Reinforcement learning in robotic applications: a comprehensive survey,"B Singh, R Kumar, VP Singh",Artificial Intelligence Review,2022,"In recent trends, artificial intelligence (AI) is used for the creation of complex automated control systems. Still, researchers are trying to make a completely autonomous system that …",,,,,,,,,,,,,,
210,Discernment on assistive technology for the care and support requirements of older adults and differently-abled individuals,"P Muthu, Y Tan, S Latha, S Dhanalakshmi…",Frontiers in public …,2023,"… Acuna et al. investigated the construction of the torso of a humanoid robot built by an … using traditional teaching and a humanoid robot. With the humanoid robot, the students could recite …",,,,,,,,,,,,,,
211,Increasing generality in machine learning through procedural content generation,"S Risi, J Togelius",Nature Machine Intelligence,2020,… a neural network that controls a five-fingered humanoid robot hand to manipulate a Rubik’s … A similar approach was later adopted by OpenAI to train their humanoid robot hand (Fig. 4c) …,,,,,,,,,,,,,,
212,Invasive and Creepy Technologies: Challenges and Opportunities,"RR McWhorter, MM Laurie",Disruptive Technologies in Education …,2024,"… Though this is considered a humanoid robot, watching it collapse upon itself and seemingly … amplify societal biases, or lead to the creation of malicious AI or AI-assisted cyber-attacks.” …",,,,,,,,,,,,,,
213,"Artificial intelligence: The technology, challenges and applications","T Bezboruah, A Bora",Transactions on Machine Learning and …,2020,… software processing and finding the cyber attack is getting popularity among business units. … The humanoid robot named as Sophia and Erica can behave and talk like a human being. …,,,,,,,,,,,,,,
214,An overview of computational co-creative pretend play with a human,"B Magerko, J Permar, M Jacob…",… of First Workshop …,2014,"… After participants negotiate a shared understanding of a pretend story (eg, monsters attack) to … This integrated system will enable a humanoid robot to perform naturalistic object play with …",,,,,,,,,,,,,,
215,Artificial Intelligence in Teaching and Learning–A Review,MS Baig,LE OF HUMANIT LE OF HUMANITIES RAL STUDIES …,2019,… Humanoid robot as a platform interesting opportunities for ch many concepts. The computation center of gravity of a complex ar the humanoid robot… Program motion of a humanoid robot …,,,,,,,,,,,,,,
216,Metal–air batteries for powering robots,"D Zhong, K Wang, Y Zuo, M Wei, J Xiong…",Journal of Materials …,2023,"… The motion performance of a humanoid robot depends on the sensors and motors it carries. Different types of sensors and motors have different power requirements, mainly in terms of …",,,,,,,,,,,,,,
217,Recent developments in aerial robotics: A survey and prototypes overview,"CF Liew, D DeLatte, N Takeishi, T Yairi",arXiv preprint arXiv:1711.10085,2017,"… [128] built a cyclocopter that can the angles of attack using a novel eccentric point … Ishiguro, “Designing a flying humanoid robot (FHR): Effects of flight on interactive communication,” in …",,,,,,,,,,,,,,
218,Walking with perturbations: a guide for biped humans and robots,"J Duysens, A Forner-Cordero",Bioinspiration &Biomimetics,2018,This paper provides an update on the neural control of bipedal walking in relation to bioinspired models and robots. It is argued that most current models or robots are based on the …,,,,,,,,,,,,,,
