Paper_ID,included,Title,author,publication,year,abstract
P474,TRUE,Targeted Attack on Deep RL-Based Autonomous Driving with Learned Visual Patterns,Prasanth Buddareddygari; Travis Zhang; Yezhou Yang; Yi Ren,IEEE ICRA,2022,"The study shows that a single physical object painted with a learned pattern can hijack a pre-trained deep-RL driving policy	 forcing precise unintended maneuvers such as self-parking. It bridges the gap between fully-digital and untargeted physical attacks	 achieving high success rates across multiple driving scenes.(arxiv.org)"""""""
P481,TRUE,Adversarially Robust Speech and Speaker Recognition,Lea Schonherr,"Ph.D. Thesis	 Ruhr UniversitÃ¤t Bochum""""",2021,"This doctoral dissertation presents novel adversarial attacks and defenses for both automatic speech recognition (ASR) and speaker verification systems"""
P485,TRUE,Digital Twin Enabled Runtime Verification for Autonomous Mobile Robots under Uncertainty,"J. S. Betzer	 J. Boudjadar	 M. Frasheri	 P. Talasila""""",arXiv preprint arXiv:2412.09913,2024,"This paper introduces a real-time runtime verification approach using digital twins to monitor autonomous mobile robots in uncertain environments. It includes safety and performance monitoring with dynamic intervention capabilities."""
P486,TRUE,Security of Controlled Manufacturing Systems in the Connected Factory: The Case of Industrial Robots,"Marcello Pogliani	 Davide Quarta	 Mario Polino	 Martino Vittone	 Federico Maggi	 Stefano Zanero""""",Journal of Computer Virology and Hacking Techniques,2019,"This paper presents a holistic view of cybersecurity risks in controlled manufacturing systems such as industrial robots"""
P487,TRUE,Privacy-Preserving Robotic Cameras Obscure Images Beyond Human Recognition,Niko Suenderhauf et al.,TechXplore,2024,This paper presents a method for robotic cameras to obscure human-identifiable features while retaining task-relevant information. The system balances privacy preservation and machine-perception requirements.
P489,TRUE,Novel Denial-of-Service Attacks against Cloud-Based Multi-Robot Systems,"Y. Xu	 G. Deng	 T. Zhang	 H. Qiu	 Y. Bao""""",Information Sciences,2021,"This paper presents three new denial-of-service attacks targeting cloud-based multi-robot systems"""
P498,TRUE,Hacking Robots Before Skynet,"Cesar Cerrudo	 Lucas Apa""""",IOActive (Technical Report),2017,"This report examines the security risks posed by internet-connected and industrial robots"""
P499,TRUE,Light Commands: Laser-Based Audio Injection Attacks on Voice-Controllable Systems,"Takeshi Sugawara	 Benjamin Cyr	 Sara Rampazzi	 Daniel Genkin	 Kevin Fu""""",Proceedings of USENIX Security Symposium,2020,"This research reveals that laser light can be modulated to inject malicious audio into voice-controlled devices from long distances. The attack exploits MEMS microphone vulnerabilities and demonstrates real-world risks including unauthorized door access and online purchases."""
P504,TRUE,"Trust and Social Engineering in Human Robot Interaction: Will a Robot Make You Disclose Sensitive Information	 Conform to Its Recommendations or Gamble?""""","Alexander M. Aroyo""", Francesco Rea, Giulio Sandini," Alessandra Sciutti""	IEEE Robotics and Automation Letters	2018	""This study explores how humanoid robots can be exploited for social engineering by building trust and eliciting sensitive information from users. Using a game scenario"
P506,TRUE,The Potential of Social Robots for Persuasion and Manipulation: A Proof of Concept Study,"Tony Belpaeme	 Jorre Deschuyteneer	 Djamari Oetringer	 Pieter Wolfert""""","IDLab imec"""," Ghent University (Technical Report)""	2019	""This study investigates how social robots could be intentionally designed to persuade or manipulate human behavior in controlled experiments"," raising ethical concerns about robotic influence on decision-making and behavior."""
P507,TRUE,Phantom in the Opera: Adversarial Music Attacks on Robot Dialogue Systems,"Pingcheng Liu	 Yifan Zhang	 Kun Xu""""",Frontiers in Computer Science,2024,"This study presents an adversarial music technique where audio signals hidden within natural music deceive robot dialogue systems. These attacks target ASR to inject unintended commands"""
P508,TRUE,Formalizing the Execution Context of Behavior Trees for Runtime Verification of Deliberative Policies,"Michele Colledanchise	 G. Cicala	 D. E. Domenichelli	 L. Natale	 A. Tacchella""""",IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2021,"This study proposes a formal framework to model Behavior Trees (BTs) in robotic control software for runtime verification"""
P509,TRUE,Robot Learning from Randomized Simulations: A Review,"F. Muratore	 F. Ramos	 G. Turk	 W. Yu	 M. Gienger	 J. Peters""""",arXiv preprint arXiv:2111.00956,2022,"This survey discusses robot learning strategies that leverage randomized simulations (sim-to-real transfer)"""
P511,TRUE,Implementing a Robot Intrusion Prevention System (RIPS) for ROS 2,"E. Soriano Salvador	 F. MartÃ­n Rico	 G. Guardiola MÃºzquiz""""",arXiv preprint arXiv:2412.19272,2024,"This work develops an intrusion prevention system specifically tailored to robotic platforms based on ROS 2"""
P513,TRUE,An Empirical Study of Performance Interference: Timing Violation Patterns and Impacts (“TimeTrap”),Ao Li; Jinwen Wang; Sanjoy Baruah; Bruno Sinopoli; Ning Zhang,IEEE RTAS,2024,"TimeTrap profiles cyber-physical workloads to uncover recurring “temporal displacement windows” in control loops	 then auto-synthesizes low-privilege aggressor tasks that hog shared resources (cache banks	 memory bus) precisely in those windows. On four real robots (Jackal UGV	 OP3 humanoid	 OpenManipulator-X	 Autoware.Auto stack) the attack induces up to 3× latency spikes and mission failures while staying below OS scheduler watchdog thresholds. The paper also evaluates kernel-level mitigations—core isolation and cache bandwidth caps—that cut violation probability by >90 % at <5 % throughput cost. (2024.rtas.org	 researchgate.net	 timetrap-rtas.github.io)"""""""
P514,TRUE,Fingerprinting Robot Movements via Acoustic Side Channel,Ryan Shah; Mujeeb Ahmed; Shishir Nagaraja,arXiv pre-print,2022,"Trains SVM models on audio from industrial arms; classifies 10 motion primitives with 75 % accuracy and reconstructs pick-and-place workflows at 62 %	 proving workflow leakage from mere sound. (arxiv.org)"""""""
P515,TRUE,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,Falong Fan; Xi Li,arXiv pre-print,2025,"Treats interacting agents as watchdogs: each queries peers and flags illogical chains of thought to isolate poisoned backdoor agents. Tested on LLM-driven coordination and StarCraft micromanagement	 PeerGuard detects >93 % of triggered agents with <5 % false positives	 adding negligible latency. (arxiv.org)"""""""
P516,TRUE,Cybersecurity Best Practices for the Safety of Modern Vehicles,U.S. National Highway Traffic Safety Administration (NHTSA),NHTSA Guidance Document,2022,"Updates the 2016 NHTSA guidance with ISO/SAE 21434 alignment	 listing 30+ general (G.x) and technical (T.x) best-practice controls—from secure OTA updates and cryptographic credential management to incident-response playbooks—aimed at OEMs and suppliers to mitigate vehicle CPS threats. (nhtsa.gov)"""""""
P517,TRUE,Passive Acoustic Side-Channel Attacks on Robotic Vacuum Cleaners (poster),S. Srivastava; T. Holterbach; J. C. S. Lui,ACM CCS (Poster),2021,"Uses a smartphone mic to capture fan-motor sounds and reconstruct a room map with ~80 % IoU by matching acoustic power shifts to vacuum trajectories	 turning a “smart” cleaner into a roaming bug. (researchgate.net)"""""""
P518,TRUE,Attacks on Visual SLAM using Unnoticeable Adversarial Patches,Baodong Chen; Zhengyu Chen; Qi Alfred Chen,USENIX Security Symposium,2024,"Visual SLAM is core to autonomous navigation but lacks defenses against stealthy patch attacks. The authors introduce the AoR (Adversary-is-on-the-Road) attack: a small	 real-world adversarial patch that warps feature tracking and drifts the map without obvious artifacts	 undermining popular ORB-SLAM pipelines in both simulation and on-vehicle tests.(usenix.org)"""""""
